ID: <@200474956931268608> | Kullanıcı: travis#1111 | Rozet: Early Supporter | Oluşturuldu: 07-07-2016 07:55:54
ID: <@289982911954944001> | Kullanıcı: triggs#4870 | Rozet: Early Supporter | Oluşturuldu: 11-03-2017 07:48:33
ID: <@129353741823508480> | Kullanıcı: trippn#0001 | Rozet: Early Supporter | Oluşturuldu: 24-12-2015 01:45:35
ID: <@259713000934473728> | Kullanıcı: UAV#6660 | Rozet: Early Supporter | Oluşturuldu: 17-12-2016 19:06:44
ID: <@255412471614013441> | Kullanıcı: Underi#2999 | Rozet: Early Supporter | Oluşturuldu: 05-12-2016 22:17:58
ID: <@433316624607608852> | Kullanıcı: Vas#8752 | Rozet: Early Supporter | Oluşturuldu: 10-04-2018 20:25:33
ID: <@236287505802985473> | Kullanıcı: vvsmalibu#0001 | Rozet: Early Supporter | Oluşturuldu: 14-10-2016 03:42:11
ID: <@102589788237856768> | Kullanıcı: Warren#7777 | Rozet: Early Supporter | Oluşturuldu: 11-10-2015 05:15:11
ID: <@219187678485151744> | Kullanıcı: wider#1000 | Rozet: Early Supporter | Oluşturuldu: 27-08-2016 23:13:34
ID: <@266673557054947329> | Kullanıcı: Wise#2222 | Rozet: Early Supporter | Oluşturuldu: 06-01-2017 00:05:30
ID: <@273218815209242624> | Kullanıcı: wizematt#9239 | Rozet: Early Supporter | Oluşturuldu: 24-01-2017 01:34:01
ID: <@150700390063669248> | Kullanıcı: womme#5587 | Rozet: Early Supporter | Oluşturuldu: 20-02-2016 23:29:32
ID: <@145619344435445760> | Kullanıcı: wulfas#4117 | Rozet: Early Supporter | Oluşturuldu: 06-02-2016 22:59:17
ID: <@118481037763280898> | Kullanıcı: yungtaxreturn#9000 | Rozet: Early Supporter | Oluşturuldu: 24-11-2015 01:41:20
ID: <@156063104482934784> | Kullanıcı: zach!#3485 | Rozet: Early Supporter | Oluşturuldu: 06-03-2016 18:39:03
ID: <@212579479774691329> | Kullanıcı: Zefira#5569 | Rozet: Early Supporter | Oluşturuldu: 09-08-2016 17:34:57
ID: <@353626636270305280> | Kullanıcı: zyn#0001 | Rozet: Early Supporter | Oluşturuldu: 02-09-2017 22:46:00
ID: <@134686418814369792> | Kullanıcı: Αdnan#1515 | Rozet: Early Supporter | Oluşturuldu: 07-01-2016 18:55:44
ID: <@209411892060487680> | Kullanıcı: 「HNez」#4272 | Rozet: Early Supporter | Oluşturuldu: 31-07-2016 23:48:05
ID: <@182818037370454016> | Kullanıcı: ワンパンマン / 원 펀맨#0001 | Rozet: Early Supporter | Oluşturuldu: 19-05-2016 14:33:36
ID: <@174496723077431297> | Kullanıcı: 💎𝐟𝐥𝐮𝐟𝐟𝐲💎#0069 | Rozet: Early Verified Bot Developer | Oluşturuldu: 26-04-2016 15:27:40
ID: <@198079329962295296> | Kullanıcı: FKA#2731 | Rozet: Early Supporter | Oluşturuldu: 30-06-2016 17:16:32
ID: <@66105880109658112> | Kullanıcı: Fuzzy#7877 | Rozet: Early Supporter | Oluşturuldu: 02-07-2015 13:01:10
